channel_name,subscribers,subscribers_time,total_views,views_time,estimated_monthly_income_(low),estimated_monthly_income_(high)
Learning Rpa Technologies,38900,2025-02-22 14:54:54,5190497,2025-02-22 14:54:54,1297.62,20761.99
Brett In Tech,1390000,2025-02-22 14:54:54,253735863,2025-02-22 14:54:54,63433.97,1014943.45
Complete Technology,652000,2025-02-22 14:54:55,37384254,2025-02-22 14:54:55,9346.06,149537.02
Nouman Technology,10900,2025-02-22 14:54:55,1008529,2025-02-22 14:54:55,252.13,4034.12
Technology Bangla Ltd,381000,2025-02-22 14:54:55,22891508,2025-02-22 14:54:55,5722.88,91566.03
Defog Tech,85700,2025-02-22 14:54:55,6213019,2025-02-22 14:54:55,1553.25,24852.08
Tech Burner,12400000,2025-02-22 14:54:56,2298195852,2025-02-22 14:54:56,574548.96,9192783.41
Tech Vive,181000,2025-02-22 14:54:56,41218279,2025-02-22 14:54:56,10304.57,164873.12
Netflix Production Technology Resources,30700,2025-02-22 14:54:56,1147021,2025-02-22 14:54:56,286.76,4588.08
Technology Hardware&Software,7020,2025-02-22 14:54:56,4531268,2025-02-22 14:54:56,1132.82,18125.07
Loud Oli Tech,2030000,2025-02-22 14:54:57,392080663,2025-02-22 14:54:57,98020.17,1568322.65
Parvat Computer Technology,29900,2025-02-22 14:54:57,3362511,2025-02-22 14:54:57,840.63,13450.04
Craig'S Tech Talk,168000,2025-02-22 14:54:57,28368513,2025-02-22 14:54:57,7092.13,113474.05
Shiv Tech Smart,112000,2025-02-22 14:54:57,32885797,2025-02-22 14:54:57,8221.45,131543.19
Tanjim The Tech Guy,204000,2025-02-22 14:54:59,30565879,2025-02-22 14:54:59,7641.47,122263.52
Abc - Technology Training & Upskilling,35100,2025-02-22 14:54:59,1683791,2025-02-22 14:54:59,420.95,6735.16
Molten Music Technology,53500,2025-02-22 14:55:00,7942679,2025-02-22 14:55:00,1985.67,31770.72
Tech In Kannada,1090000,2025-02-22 14:55:00,162905401,2025-02-22 14:55:00,40726.35,651621.6
Tech Raj,770000,2025-02-22 14:55:00,67030584,2025-02-22 14:55:00,16757.65,268122.34
Rhinoco Technology,2210,2025-02-22 14:55:00,632561,2025-02-22 14:55:00,158.14,2530.24
Technology Jock,304000,2025-02-22 14:55:00,33080712,2025-02-22 14:55:00,8270.18,132322.85
Shri Ram Institute Of Technology,21600,2025-02-22 14:55:01,1156369,2025-02-22 14:55:01,289.09,4625.48
Pro Tech Village,182000,2025-02-22 14:55:01,41952103,2025-02-22 14:55:01,10488.03,167808.41
Amit Technology,335000,2025-02-22 14:55:01,71163372,2025-02-22 14:55:01,17790.84,284653.49
Kannada Tech - ಕನ್ನಡ ಟೆಕ್,380000,2025-02-22 14:55:01,30495731,2025-02-22 14:55:01,7623.93,121982.92
Technology Ring,9910,2025-02-22 14:55:02,3572612,2025-02-22 14:55:02,893.15,14290.45
Dell Technologies,24100,2025-02-22 14:55:02,148216642,2025-02-22 14:55:02,37054.16,592866.57
Magical Tech Guru,120000,2025-02-22 14:55:02,18562906,2025-02-22 14:55:02,4640.73,74251.62
Tech Marathi,168000,2025-02-22 14:55:02,9483882,2025-02-22 14:55:02,2370.97,37935.53
I Tech,1910000,2025-02-22 14:55:03,160612141,2025-02-22 14:55:03,40153.04,642448.56
Tech Argon,7530,2025-02-22 14:55:03,5081107,2025-02-22 14:55:03,1270.28,20324.43
Habib Technology,37600,2025-02-22 14:55:03,5236848,2025-02-22 14:55:03,1309.21,20947.39
Dahua Technology India,11700,2025-02-22 14:55:04,4700720,2025-02-22 14:55:04,1175.18,18802.88
Technology With Arslan,1540,2025-02-22 14:55:04,51404,2025-02-22 14:55:04,12.85,205.62
Sab Tech,27700,2025-02-22 14:55:04,10157043,2025-02-22 14:55:04,2539.26,40628.17
Technology Talk 2020,17000,2025-02-22 14:55:04,5044053,2025-02-22 14:55:04,1261.01,20176.21
Tech Report Telugu,488000,2025-02-22 14:55:05,97546599,2025-02-22 14:55:05,24386.65,390186.4
New Era Technology,228,2025-02-22 14:55:05,65043,2025-02-22 14:55:05,16.26,260.17
Tech Govind,189000,2025-02-22 14:55:05,21060382,2025-02-22 14:55:05,5265.1,84241.53
Maestro Technology,16300,2025-02-22 14:55:05,640,2025-02-22 14:55:05,0.16,2.56
Multi Tech Media,425000,2025-02-22 14:55:06,86377442,2025-02-22 14:55:06,21594.36,345509.77
Engineering Technology Simulation Learning Videos,131000,2025-02-22 14:55:06,13316981,2025-02-22 14:55:06,3329.25,53267.92
Tech Ldp Zone,23000,2025-02-22 14:55:06,6062913,2025-02-22 14:55:06,1515.73,24251.65
Trakin Tech Marathi,1220000,2025-02-22 14:55:06,202547388,2025-02-22 14:55:06,50636.85,810189.55
"Science, Technology & The Future",24400,2025-02-22 14:55:07,3993286,2025-02-22 14:55:07,998.32,15973.14
Tech Notice,251000,2025-02-22 14:55:07,58002938,2025-02-22 14:55:07,14500.73,232011.75
Tech Help & Guide,339000,2025-02-22 14:55:07,40600139,2025-02-22 14:55:07,10150.03,162400.56
Technical Guruji,23700000,2025-02-22 14:55:07,3825266673,2025-02-22 14:55:07,956316.67,15301066.69
Our Technology Planet,18900,2025-02-22 14:55:08,1061806,2025-02-22 14:55:08,265.45,4247.22
Manish Tech,139000,2025-02-22 14:55:08,25429995,2025-02-22 14:55:08,6357.5,101719.98
Rv Tech Tamil,196000,2025-02-22 14:55:08,37208290,2025-02-22 14:55:08,9302.07,148833.16
Pennsylvania College Of Technology,7710,2025-02-22 14:55:08,2493632,2025-02-22 14:55:08,623.41,9974.53
Plant Cell Technology,21500,2025-02-22 14:55:09,1424554,2025-02-22 14:55:09,356.14,5698.22
Uni-Trend Technology,9550,2025-02-22 14:55:09,1497764,2025-02-22 14:55:09,374.44,5991.06
Halka Tech,1420000,2025-02-22 14:55:09,288434706,2025-02-22 14:55:09,72108.68,1153738.82
Nc Engineering & Technology,6600,2025-02-22 14:55:09,525466,2025-02-22 14:55:09,131.37,2101.86
Tech Sd Support,51000,2025-02-22 14:55:10,16037602,2025-02-22 14:55:10,4009.4,64150.41
Technology Channel,290000,2025-02-22 14:55:10,18371056,2025-02-22 14:55:10,4592.76,73484.22
Trakin Tech English,680000,2025-02-22 14:55:10,169346981,2025-02-22 14:55:10,42336.75,677387.92
Deerwalk Institute Of Technology,2680,2025-02-22 14:55:10,534546,2025-02-22 14:55:10,133.64,2138.18
Brick Technology,2050000,2025-02-22 14:55:11,343941550,2025-02-22 14:55:11,85985.39,1375766.2
Telugu Tech With Srinivas,709000,2025-02-22 14:55:11,140349621,2025-02-22 14:55:11,35087.41,561398.48
Clove Technology,67400,2025-02-22 14:55:11,37294930,2025-02-22 14:55:11,9323.73,149179.72
Tech Bengali,249000,2025-02-22 14:55:11,37436886,2025-02-22 14:55:11,9359.22,149747.54
Tech Bengali,249000,2025-02-22 14:55:13,37436886,2025-02-22 14:55:13,9359.22,149747.54
Technology Connextras,397000,2025-02-22 14:55:13,17322615,2025-02-22 14:55:13,4330.65,69290.46
Study Worlds Technology,29700,2025-02-22 14:55:14,11054364,2025-02-22 14:55:14,2763.59,44217.46
"Microchip Technology, Inc.",75500,2025-02-22 14:55:14,15186375,2025-02-22 14:55:14,3796.59,60745.5
Technology Twist,40300,2025-02-22 14:55:14,7084148,2025-02-22 14:55:14,1771.04,28336.59
Tech Gaurav,125000,2025-02-22 14:55:14,10440161,2025-02-22 14:55:14,2610.04,41760.64
Mrwhosetheboss,20600000,2025-02-22 14:55:15,6643734387,2025-02-22 14:55:15,1660933.6,26574937.55
Tech Certified,66600,2025-02-22 14:55:15,33009261,2025-02-22 14:55:15,8252.32,132037.04
Agni College Of Technology,7280,2025-02-22 14:55:15,1059389,2025-02-22 14:55:15,264.85,4237.56
Ram Technology In Telugu,4300,2025-02-22 14:55:15,724982,2025-02-22 14:55:15,181.25,2899.93
Quantum Technology,139000,2025-02-22 14:55:16,56324804,2025-02-22 14:55:16,14081.2,225299.22
Adithya Tech தமிழ்,129000,2025-02-22 14:55:16,21775402,2025-02-22 14:55:16,5443.85,87101.61
Technology Secrets,60400,2025-02-22 14:55:16,44677270,2025-02-22 14:55:16,11169.32,178709.08
Tech Unboxing,1050000,2025-02-22 14:55:16,175638172,2025-02-22 14:55:16,43909.54,702552.69
Kingston Technology 中文 - 繁體,8350,2025-02-22 14:55:17,12442090,2025-02-22 14:55:17,3110.52,49768.36
Mithun Technologies Devops,32500,2025-02-22 14:55:17,1044413,2025-02-22 14:55:17,261.1,4177.65
Bells University Of Technology,816,2025-02-22 14:55:17,31630,2025-02-22 14:55:17,7.91,126.52
Tech Trends Shameer,10700,2025-02-22 14:55:17,2576967,2025-02-22 14:55:17,644.24,10307.87
Technology Platform,121000,2025-02-22 14:55:18,16654307,2025-02-22 14:55:18,4163.58,66617.23
Capitol Technology University,1090,2025-02-22 14:55:18,92354,2025-02-22 14:55:18,23.09,369.42
Pb Tech,30900,2025-02-22 14:55:18,11881474,2025-02-22 14:55:18,2970.37,47525.9
Learning Civil Technology,770000,2025-02-22 14:55:18,64695753,2025-02-22 14:55:18,16173.94,258783.01
Arvind K Tech,62200,2025-02-22 14:55:19,2969575,2025-02-22 14:55:19,742.39,11878.3
Tech Office,120000,2025-02-22 14:55:19,37610146,2025-02-22 14:55:19,9402.54,150440.58
Muller Technology,428,2025-02-22 14:55:19,33175,2025-02-22 14:55:19,8.29,132.7
Tech Bag Tamil,50300,2025-02-22 14:55:20,10153282,2025-02-22 14:55:20,2538.32,40613.13
Ashok Tech Official,329000,2025-02-22 14:55:20,46642267,2025-02-22 14:55:20,11660.57,186569.07
Dpc Technology,15600,2025-02-22 14:55:20,2943093,2025-02-22 14:55:20,735.77,11772.37
Defence Science And Technology Group,2580,2025-02-22 14:55:20,290801,2025-02-22 14:55:20,72.7,1163.2
Ashoka Tech.,375000,2025-02-22 14:55:21,38079931,2025-02-22 14:55:21,9519.98,152319.72
Gowtham Tech - கௌதம் டெக்,397000,2025-02-22 14:55:21,19327799,2025-02-22 14:55:21,4831.95,77311.2
Kpr Institute Of Engineering And Technology,14500,2025-02-22 14:55:21,2409783,2025-02-22 14:55:21,602.45,9639.13
Tamil Tech Ginger,83300,2025-02-22 14:55:22,10104462,2025-02-22 14:55:22,2526.12,40417.85
América Technology,329000,2025-02-22 14:55:22,56891171,2025-02-22 14:55:22,14222.79,227564.68
Seagate Technology,58400,2025-02-22 14:55:22,8961287,2025-02-22 14:55:22,2240.32,35845.15
Classic Technology,47900,2025-02-22 14:55:22,4879950,2025-02-22 14:55:22,1219.99,19519.8
"Education,Technology & Health",172000,2025-02-22 14:55:22,18596049,2025-02-22 14:55:22,4649.01,74384.2
Es Tech Knowledge,61500,2025-02-22 14:55:23,9305592,2025-02-22 14:55:23,2326.4,37222.37
All In Tech - தமிழ்,54700,2025-02-22 14:55:23,5642356,2025-02-22 14:55:23,1410.59,22569.42
Tech Help Sourav,85200,2025-02-22 14:55:23,23486393,2025-02-22 14:55:23,5871.6,93945.57
Technology Da Khasi,164000,2025-02-22 14:55:24,11058883,2025-02-22 14:55:24,2764.72,44235.53
Hidden Technology,703000,2025-02-22 14:55:24,65198205,2025-02-22 14:55:24,16299.55,260792.82
Ardiland Tech,64200,2025-02-22 14:55:24,2609194,2025-02-22 14:55:24,652.3,10436.78
Tech Droid Hindi,3380000,2025-02-22 14:55:24,194464355,2025-02-22 14:55:24,48616.09,777857.42
Naiwik Tech,42900,2025-02-22 14:55:25,25926117,2025-02-22 14:55:25,6481.53,103704.47
Sonu Automation Technology,24200,2025-02-22 14:55:25,2146093,2025-02-22 14:55:25,536.52,8584.37
Arcks Tech Edu,105000,2025-02-22 14:55:25,7349744,2025-02-22 14:55:25,1837.44,29398.98
Anbu Tech,30000,2025-02-22 14:55:25,4038951,2025-02-22 14:55:25,1009.74,16155.8
Agro Information And Technology,221000,2025-02-22 14:55:26,44004172,2025-02-22 14:55:26,11001.04,176016.69
Telugu Tech Tv,244000,2025-02-22 14:55:26,28722897,2025-02-22 14:55:26,7180.72,114891.59
Smack Tech,125000,2025-02-22 14:55:28,26822652,2025-02-22 14:55:28,6705.66,107290.61
Smartbox Assistive Technology,2250,2025-02-22 14:55:28,523719,2025-02-22 14:55:28,130.93,2094.88
Influx Technology,174,2025-02-22 14:55:28,28186,2025-02-22 14:55:28,7.05,112.74
Dahua Technology Usa,4190,2025-02-22 14:55:29,540084,2025-02-22 14:55:29,135.02,2160.34
Tech Simple,36600,2025-02-22 14:55:29,12857428,2025-02-22 14:55:29,3214.36,51429.71
"Atria Institute Of Technology-Ait,Bangalore",500,2025-02-22 14:55:29,41243,2025-02-22 14:55:29,10.31,164.97
Anastasi In Tech,226000,2025-02-22 14:55:29,11584020,2025-02-22 14:55:29,2896.01,46336.08
Apm Electronics New Tech.,128000,2025-02-22 14:55:30,18273962,2025-02-22 14:55:30,4568.49,73095.85
Onespot Tech,648000,2025-02-22 14:55:30,101459039,2025-02-22 14:55:30,25364.76,405836.16
Tech For Genius,1300000,2025-02-22 14:55:30,36993133,2025-02-22 14:55:30,9248.28,147972.53
Tech Travel Eat By Sujith Bhakthan,2230000,2025-02-22 14:55:30,754370530,2025-02-22 14:55:30,188592.63,3017482.12
Scorpiotech,103000,2025-02-22 14:55:31,17072254,2025-02-22 14:55:31,4268.06,68289.02
Technology Drive,26400,2025-02-22 14:55:31,7584884,2025-02-22 14:55:31,1896.22,30339.54
Fk Tech,194000,2025-02-22 14:55:31,7526325,2025-02-22 14:55:31,1881.58,30105.3
Technology Rig,16500,2025-02-22 14:55:31,3305028,2025-02-22 14:55:31,826.26,13220.11
Morrison Institute Of Technology,3370,2025-02-22 14:55:32,1466962,2025-02-22 14:55:32,366.74,5867.85
Yololiv Tech,20300,2025-02-22 14:55:32,1469803,2025-02-22 14:55:32,367.45,5879.21
𝗦𝗺𝗮𝗿𝘁 𝗧𝗲𝗰𝗵 [𝐓𝐮𝐭𝐨𝐫𝐢𝐚𝐥]🔥,13300,2025-02-22 14:55:32,2170875,2025-02-22 14:55:32,542.72,8683.5
Brainers Technology,57200,2025-02-22 14:55:33,22707040,2025-02-22 14:55:33,5676.76,90828.16
Technology With Me,49900,2025-02-22 14:55:33,5201430,2025-02-22 14:55:33,1300.36,20805.72
This Week In Tech,53200,2025-02-22 14:55:33,4144832,2025-02-22 14:55:33,1036.21,16579.33
Dahua Technology Channel,60000,2025-02-22 14:55:33,6181566,2025-02-22 14:55:33,1545.39,24726.26
Tech Logic In Telugu,705000,2025-02-22 14:55:34,138906420,2025-02-22 14:55:34,34726.61,555625.68
Tech Dreams,522000,2025-02-22 14:55:34,41376433,2025-02-22 14:55:34,10344.11,165505.73
This Is Tech Today,421000,2025-02-22 14:55:34,64360587,2025-02-22 14:55:34,16090.15,257442.35
Boo Tech,476000,2025-02-22 14:55:34,33358382,2025-02-22 14:55:34,8339.6,133433.53
Multitech Institute Of Advance Technologies,152000,2025-02-22 14:55:35,10190058,2025-02-22 14:55:35,2547.51,40760.23
Shashi Shukla Tech,253000,2025-02-22 14:55:35,60017169,2025-02-22 14:55:35,15004.29,240068.68
The Youtube Tech Guy,414000,2025-02-22 14:55:35,91049308,2025-02-22 14:55:35,22762.33,364197.23
Tech Infomania,54500,2025-02-22 14:55:35,13283979,2025-02-22 14:55:35,3320.99,53135.92
National Institute Of Standards And Technology,45300,2025-02-22 14:55:36,9421320,2025-02-22 14:55:36,2355.33,37685.28
Technology Magazine,1560,2025-02-22 14:55:36,183675,2025-02-22 14:55:36,45.92,734.7
Super Technology,265000,2025-02-22 14:55:36,64108472,2025-02-22 14:55:36,16027.12,256433.89
Knowledge 4 Tech,40700,2025-02-22 14:55:36,11372316,2025-02-22 14:55:36,2843.08,45489.26
Vgyan Tech,415000,2025-02-22 14:55:36,49725226,2025-02-22 14:55:36,12431.31,198900.9
Excellence Technology,18200,2025-02-22 14:55:37,1337078,2025-02-22 14:55:37,334.27,5348.31
Royal Tech Pro,50100,2025-02-22 14:55:37,9828627,2025-02-22 14:55:37,2457.16,39314.51
Tech Now Plus,24100,2025-02-22 14:55:37,2333138,2025-02-22 14:55:37,583.28,9332.55
Manish Perfect Tech - Tamil,56800,2025-02-22 14:55:38,3023839,2025-02-22 14:55:38,755.96,12095.36
Art And Technology,12200,2025-02-22 14:55:38,55139695,2025-02-22 14:55:38,13784.92,220558.78
Technology Master,211000,2025-02-22 14:55:38,21227609,2025-02-22 14:55:38,5306.9,84910.44
Ab Technology Et,48600,2025-02-22 14:55:38,943994,2025-02-22 14:55:38,236.0,3775.98
Valaxy Technologies,108000,2025-02-22 14:55:39,10777385,2025-02-22 14:55:39,2694.35,43109.54
Tech Rifle,459000,2025-02-22 14:55:39,54249371,2025-02-22 14:55:39,13562.34,216997.48
Tech Nation,163000,2025-02-22 14:55:39,10150125,2025-02-22 14:55:39,2537.53,40600.5
Sunny Technology,419000,2025-02-22 14:55:40,82358114,2025-02-22 14:55:40,20589.53,329432.46
Techment Technology,173,2025-02-22 14:55:40,12756,2025-02-22 14:55:40,3.19,51.02
Learn With Fun Technology,25100,2025-02-22 14:55:40,1809476,2025-02-22 14:55:40,452.37,7237.9
Ndm Tech,3060,2025-02-22 14:55:40,1319096,2025-02-22 14:55:40,329.77,5276.38
Massachusetts Institute Of Technology (Mit),904000,2025-02-22 14:55:41,111287269,2025-02-22 14:55:41,27821.82,445149.08
Amazing Technology,484000,2025-02-22 14:55:43,266033358,2025-02-22 14:55:43,66508.34,1064133.43
Tech Argon,7530,2025-02-22 14:55:43,5081107,2025-02-22 14:55:43,1270.28,20324.43
Daybyday Tech,34100,2025-02-22 14:55:43,12608446,2025-02-22 14:55:43,3152.11,50433.78
Tti English - Technology,1760000,2025-02-22 14:55:43,517805972,2025-02-22 14:55:43,129451.49,2071223.89
Ozone Tech,22700,2025-02-22 14:55:44,3666193,2025-02-22 14:55:44,916.55,14664.77
Simplifying Tech,3410,2025-02-22 14:55:44,782205,2025-02-22 14:55:44,195.55,3128.82
Family Tech,33000,2025-02-22 14:55:44,4625594,2025-02-22 14:55:44,1156.4,18502.38
Tech Fire,286000,2025-02-22 14:55:44,48002466,2025-02-22 14:55:44,12000.62,192009.86
Ivan On Tech,533000,2025-02-22 14:55:44,28504219,2025-02-22 14:55:44,7126.05,114016.88
Muhammed Computer Technology (Mct),67800,2025-02-22 14:55:45,1769897,2025-02-22 14:55:45,442.47,7079.59
Technology Paul,5350,2025-02-22 14:55:45,1401479,2025-02-22 14:55:45,350.37,5605.92
Technology House Hindi,8420,2025-02-22 14:55:45,2177141,2025-02-22 14:55:45,544.29,8708.56
Tech Way,2110000,2025-02-22 14:55:45,1445088458,2025-02-22 14:55:45,361272.11,5780353.83
Tech Shan Tamil,907000,2025-02-22 14:55:46,215193627,2025-02-22 14:55:46,53798.41,860774.51
Visu Random Technology,59500,2025-02-22 14:55:46,18738999,2025-02-22 14:55:46,4684.75,74956.0
Technology Trends,167000,2025-02-22 14:55:46,45888078,2025-02-22 14:55:46,11472.02,183552.31
Tech Enthusiast,76800,2025-02-22 14:55:46,19926794,2025-02-22 14:55:46,4981.7,79707.18
Haldia Institute Of Technology Official,6010,2025-02-22 14:55:47,789843,2025-02-22 14:55:47,197.46,3159.37
National Institute Of Technology Raipur,2230,2025-02-22 14:55:47,155399,2025-02-22 14:55:47,38.85,621.6
Tech Community,116000,2025-02-22 14:55:47,20969511,2025-02-22 14:55:47,5242.38,83878.04
Insider Tech,4190000,2025-02-22 14:55:47,1696012507,2025-02-22 14:55:47,424003.13,6784050.03
Amazing Tools  Technology,29100,2025-02-22 14:55:48,8971031,2025-02-22 14:55:48,2242.76,35884.12
Total Technology Zonne,9520,2025-02-22 14:55:48,1138991,2025-02-22 14:55:48,284.75,4555.96
Tech For Luddites,156000,2025-02-22 14:55:48,6381342,2025-02-22 14:55:48,1595.34,25525.37
Uniq Technologies,100000,2025-02-22 14:55:48,25345304,2025-02-22 14:55:48,6336.33,101381.22
Dev Tech Help,150000,2025-02-22 14:55:49,60292613,2025-02-22 14:55:49,15073.15,241170.45
Girisonnaseri Tech,365000,2025-02-22 14:55:49,44545072,2025-02-22 14:55:49,11136.27,178180.29
Dr. Bawasakar Technology Agro Pvt. Ltd.,32700,2025-02-22 14:55:49,1644238,2025-02-22 14:55:49,411.06,6576.95
Ie Tech,188000,2025-02-22 14:55:50,54637746,2025-02-22 14:55:50,13659.44,218550.98
Tech Therapy,118000,2025-02-22 14:55:50,27179901,2025-02-22 14:55:50,6794.98,108719.6
4U Tech,10000,2025-02-22 14:55:50,4067469,2025-02-22 14:55:50,1016.87,16269.88
Primitive Technology Idea,6370000,2025-02-22 14:55:50,1450742296,2025-02-22 14:55:50,362685.57,5802969.18
Tech Junkies,226000,2025-02-22 14:55:51,46137120,2025-02-22 14:55:51,11534.28,184548.48
B Technology,730000,2025-02-22 14:55:51,111683045,2025-02-22 14:55:51,27920.76,446732.18
Bebop Technology,207,2025-02-22 14:55:51,21012,2025-02-22 14:55:51,5.25,84.05
Max Tech,1230000,2025-02-22 14:55:51,415269494,2025-02-22 14:55:51,103817.37,1661077.98
Future Tech,692000,2025-02-22 14:55:52,24204280,2025-02-22 14:55:52,6051.07,96817.12
Emerging Technologies,122000,2025-02-22 14:55:52,2810255,2025-02-22 14:55:52,702.56,11241.02
Manish Car Technology,161000,2025-02-22 14:55:52,21702262,2025-02-22 14:55:52,5425.57,86809.05
Reflex Tech World,75900,2025-02-22 14:55:52,7842027,2025-02-22 14:55:52,1960.51,31368.11
Intel Technology,41700,2025-02-22 14:55:53,19632221,2025-02-22 14:55:53,4908.06,78528.88
Green Tech Solutions,70200,2025-02-22 14:55:53,13313599,2025-02-22 14:55:53,3328.4,53254.4
Tech At 6,38000,2025-02-22 14:55:53,11342498,2025-02-22 14:55:53,2835.62,45369.99
Jetlap Tech Tips,22800,2025-02-22 14:55:53,5010813,2025-02-22 14:55:53,1252.7,20043.25
Tech Planet,450000,2025-02-22 14:55:54,158506412,2025-02-22 14:55:54,39626.6,634025.65
Panwa Tech,3130,2025-02-22 14:55:54,739095,2025-02-22 14:55:54,184.77,2956.38
Tech With Nader,13300,2025-02-22 14:55:54,909492,2025-02-22 14:55:54,227.37,3637.97
Jamal Khan Car Technology,65000,2025-02-22 14:55:55,5583272,2025-02-22 14:55:55,1395.82,22333.09
3 Technology,440000,2025-02-22 14:55:55,73151953,2025-02-22 14:55:55,18287.99,292607.81
David Bombal Tech,83300,2025-02-22 14:55:55,2133646,2025-02-22 14:55:55,533.41,8534.58
Rader Tech,24600,2025-02-22 14:55:57,5863155,2025-02-22 14:55:57,1465.79,23452.62
Ismail Technology,510000,2025-02-22 14:55:57,107111395,2025-02-22 14:55:57,26777.85,428445.58
Playful Technology,52500,2025-02-22 14:55:57,5285512,2025-02-22 14:55:57,1321.38,21142.05
Tech Saw,296000,2025-02-22 14:55:58,48349722,2025-02-22 14:55:58,12087.43,193398.89
Insider Tech,4190000,2025-02-22 14:55:58,1696012507,2025-02-22 14:55:58,424003.13,6784050.03
Yem Tech,26400,2025-02-22 14:55:58,5817923,2025-02-22 14:55:58,1454.48,23271.69
Tech Guide,991000,2025-02-22 14:55:58,93232093,2025-02-22 14:55:58,23308.02,372928.37
Cput (Cape Peninsula University Of Technology),8530,2025-02-22 14:55:59,1019863,2025-02-22 14:55:59,254.97,4079.45
Tech Arrange,154000,2025-02-22 14:55:59,24529554,2025-02-22 14:55:59,6132.39,98118.22
Learn Tech,82400,2025-02-22 14:55:59,7294117,2025-02-22 14:55:59,1823.53,29176.47
Future Tech,692000,2025-02-22 14:55:59,24204280,2025-02-22 14:55:59,6051.07,96817.12
Technology Networks,2830,2025-02-22 14:56:00,350713,2025-02-22 14:56:00,87.68,1402.85
Concept Technology,337000,2025-02-22 14:56:00,89441616,2025-02-22 14:56:00,22360.4,357766.46
All About Technology 24X7,18700,2025-02-22 14:56:00,5714211,2025-02-22 14:56:00,1428.55,22856.84
